case_id,case_description,status,factual_conclusion,evidence_class,caveat_or_requirement
one_complete_p2panel,One complete P2PANEL used alone for a State population estimate,SUPPORTED,FIA assumes complete spatial coverage for each panel and states single-panel estimation proceeds by standard design-based methods.,OFFICIAL,Higher variance/small within-stratum n; in subpaneling work units a complete P2PANEL can span two scheduled subpanels/years.
one_subpanel_in_subpaneling_region,One SUBPANEL alone in RMRS/PNWRS/affected Oklahoma,UNKNOWN,Current schema identifies annual subpanels but D09B found no core nationwide statement equating one subpanel with the complete-panel estimator of Chapter 5.,OFFICIAL_GAP,Do not silently substitute SUBPANEL for P2PANEL without a bounded design audit.
multiple_complete_panels_MA,Combine selected complete panels by moving average,SUPPORTED,FIA officially describes MA: independent panel estimates combined with positive weights summing to one; panel variances combine with squared weights.,OFFICIAL,Temporal average/lag depends on weights and panel years.
multiple_complete_panels_TI,Pool selected complete panels under common Phase-1 stratification,SUPPORTED,FIA officially describes TI pooling panels into one periodic-inventory-like sample and applying standard post-stratified estimation.,OFFICIAL,TI is temporally indifferent and does not target a specific year.
subset_panels_reuse_full_evaluation_EXPNS,Retain only selected panels but use full-evaluation EXPNS unchanged,NOT_SUPPORTED,Full-evaluation expansion quantities depend on effective stratum sample sizes; changing the sample invalidates automatic reuse.,OFFICIAL_PLUS_INFERENCE,Fold-specific recalibration/reconstruction required.
global_factor_5_over_k,Multiply full-evaluation weights by a single global 5/k factor,NOT_SUPPORTED,No FIA core method documents this as a universal transformation; exact only under restrictive equal-retention conditions across all design strata.,INFERENCE,Must not be assumed.
two_vs_three_complete_panels,A 2-panel fold and a 3-panel fold each estimate the population total,CONDITIONAL,"Each complete-panel subset can support design-based estimation after correct weights/variance, but precision differs and temporal composition generally differs.",OFFICIAL_PLUS_INFERENCE,Same spatial population does not imply identical time-point estimand.
odd_even_p2panel,Fixed odd/even P2PANEL partition,CONDITIONAL,"Outcome-blind and preserves complete panels, but not an FIA-prescribed A/B rule; 3-vs-2 imbalance and panel-year coupling can create temporal imbalance.",Q1_INFERENCE,Subpaneling makes P2PANEL nonannual in Western work units.
design_balanced_whole_panel_partition,Deterministic whole-panel partition balancing design-level plot/stratum representation,CONDITIONAL,May improve fold balance while preserving whole panels; FIA does not prescribe this cross-fitting rule.,Q1_INFERENCE,"Must use design-only variables, never species outcomes; temporal balance still needs audit."
state_specific_partition,Allow different whole-panel partitions by State,CONDITIONAL,"Regional panel/subpanel schedules differ, so a State-specific design audit is defensible; no FIA core A/B prescription exists.",Q1_INFERENCE,Mainline must freeze a deterministic reproducible rule.
cross_state_combination,Combine State-specific fold estimates to a CONUS total,SUPPORTED,FIA design-based framework combines independent estimation-unit/State totals and variances after valid within-State estimates.,OFFICIAL,Each State must use its own coherent evaluation and fold-specific design bookkeeping.
whole_panel_AB_crossfit,"Use fold A panels for support and fold B panels for abundance, then reverse",CONDITIONAL,"Disjoint complete panels are probability-sample-aligned, but Q1 cross-fitting is not an FIA-prescribed estimator.",Q1_INFERENCE,Requires fold-specific weights/variance and explicit temporal estimand.
no_plot_lineage_overlap,Require no permanent plot lineage in both folds,CONDITIONAL,"Panel assignment is intended as persistent spatial design membership, so whole-panel splitting should enforce disjoint lineages; historical exceptions should be checked.",OFFICIAL_DESIGN_PLUS_INFERENCE,Bounded local lineage audit required.
p2panel_as_national_annual_unit,Treat P2PANEL values 1-5 as one annual sample per value in every State,NOT_SUPPORTED,"Current FIADB SUBPANEL definition shows P2PANEL is subdivided in RMRS, PNWRS and parts of Oklahoma.",OFFICIAL,P2PANEL number is not a nationally synchronized year label.
all_48_states_have_2023_group,Assume every CONUS State has a whole-State 2023 evaluation group,NOT_SUPPORTED,"Current FIADB-API metadata lacks 2023 whole-State groups for Montana, New Mexico and Utah; their latest published groups are 2022.",OFFICIAL,Mainline exception rule required before D08C2.
panel_id_to_year_from_wc_only,Derive each panel's measurement year from evaluation-group member-year list,NOT_SUPPORTED,wc metadata lists member years but not P2PANEL/SUBPANEL-to-year membership.,OFFICIAL,Needs bounded local PLOT-level design audit.
texas_2023_group_component_evalids,Treat whole-State Texas group 482023 as one guessed numeric EVALID,NOT_SUPPORTED,"Official wc metadata confirms group 482023, but FIADB update history records separate East and West 482023 components. Group membership must be read from POP_EVAL_TYP/POP_EVAL; a guessed single EVALID is not justified.",OFFICIAL,Bounded local design-metadata audit before D08C2; no species outcomes required.
