check_id,description,expected,actual,status
QC001,Frozen D08B1 ZIP and copied authority/control hashes match,11,11,PASS
QC002,Analysis species master row count,361,361,PASS
QC003,confirmed_native_CONUS exact input universe,312,312,PASS
QC004,Candidate analysis_species_id values are unique,312,312,PASS
QC005,Exactly one valid Gate 0 class per species,312,312,PASS
QC006,Six class counts sum to 312,312,312,PASS
QC007,PASS_COARSE has no Class 1-4 compatible frozen external flag,0,0,PASS
QC008,Every FAIL_EXTRA_NA has explicit frozen extra-NA/transcontinental evidence,0,0,PASS
QC009,No external/network source used,NONE,NONE,PASS
QC010,No Little layer content used for decisions,NONE,NONE,PASS
QC011,"No FIA outcome, D08C eligibility, abundance, detection, or real-Q1 table read",NONE,NONE,PASS
QC012,No final cohort flag selected,0,0,PASS
QC013,Decision queue contains only frozen review classes,181,181,PASS
QC014,FAIL file contains only FAIL_EXTRA_NA,30,30,PASS
QC015,No numerical area/geometry threshold exists,,,PASS
QC016,All required global flags are binary for all 312 rows,312,312,PASS
QC017,All output species retain confirmed_native_CONUS TRUE,312,312,PASS
QC018,"Every output row has an explicit reason, evidence text, and route",312,312,PASS
QC019,Future USA+Canada/Little audit flag follows frozen class rule,86,86,PASS
QC020,Future external audit flag follows frozen class rule,95,95,PASS
QC021,No scientific thresholds were changed after class counts,908e91da5cca2029b1f26a1594bb07486d2f3ee0ac407bb409f3b28376588d97,908e91da5cca2029b1f26a1594bb07486d2f3ee0ac407bb409f3b28376588d97,PASS
