check,status,observed,expected,note
input_hashes_all_pass,PASS,Counter({'PASS': 27}),all PASS,
temporal_frame_rows_48_each,PASS,96,96,
actual_membership_never_guessed,PASS,0,0,
texas_actual_group_membership_closed,PASS,"[('T1', 482201, 8), ('T2', 482301, 8)]",T1=482201/8 EUs; T2=482301/8 EUs,
candidate_rows_10_per_state_frame,PASS,960,960,
p2panel_never_split,PASS,0,0,
ranking_uses_only_predeclared_design_keys,PASS,missing area; block representation; time; plots/cells; panel ID,contract keys,
sqlite_no_denied_reads,PASS,0,0,
sql_contains_no_prohibited_marker,PASS,0,0,
no_conflicting_plot_stratum_assignment,PASS,0,0,
all_selected_assignment_plots_found,PASS,0,0,
all_selected_assignment_strata_found,PASS,0,0,
state_join_identity,PASS,0,0,
top_candidates_not_frozen_final,PASS,0,0,
ti_full_expns_not_reused,PASS,0,0,
ma_full_expns_not_reused,PASS,0,0,
constant_response_identity_all_represented_blocks,PASS,Counter({'PASS': 368}),all PASS,
no_numeric_sample_or_precision_threshold,PASS,null,null,
no_species_little_usgs_or_real_q1,PASS,none,none,
