check_id,required_for_engineering_pass,description,expected,observed,status,note
QC001,1,All frozen input hashes verified,19,19,PASS,
QC002,1,True code map contains 396 rows,396,396,PASS,
QC003,1,True code map FIA codes are unique,396,396,PASS,
QC004,1,Original FIA raw names preserved,396,396,PASS,
QC005,1,Eight ordinary accepted corrections applied,8,8,PASS,
QC006,1,FIA 6511 has no fabricated Accepted analysis target,no analysis; terminal Unplaced,analysis=;terminal=Unplaced,PASS,
QC007,1,FIA 6955 remains UNKNOWN,UNKNOWN/no analysis,UNKNOWN_MAINLINE_AUTHORIZED/,PASS,
QC008,1,FIA 143 is accepted hybrid non-core and absent from ordinary master,hybrid non-core/absent,ACCEPTED_HYBRID_NONCORE/0,PASS,
QC009,1,All ordinary analysis taxa are WCVP Accepted non-hybrid Species,361,361,PASS,
QC010,1,Distribution rows use final accepted ordinary species IDs only,9648,9648,PASS,
QC011,1,Introduced/extinct/doubtful rows never enter confirmed current native,0,0,PASS,
QC012,1,Unchanged ordinary-species Level-3 rows preserved exactly,9425,9425,PASS,
QC013,1,Accepted-hybrid distribution evidence preserved separately,4,4,PASS,
QC014,1,Every D08B v01 USGS review species represented cross-stage,92,92,PASS,
QC015,1,Every prior exact/official nonzero v01 unresolved case explicitly accounted,7,7,PASS,
QC016,1,Review-only USGS cases receive no canonical layer,0,0,PASS,
QC017,1,Canonical layers occur only for unique no-Notes single-layer cases,0,0,PASS,
QC018,1,Every CONUS-nonnative NOT_APPLICABLE case has frozen WCVP support,47,47,PASS,
QC019,1,Abies grandis author-bridge false negative repaired,not UNRESOLVED,SINGLE_SPECIES_LAYER,PASS,
QC020,1,Atlas G Table 1 frozen row count,690,690,PASS,
QC021,1,Taxonomy correction application ledger contains 11 cases,11,11,PASS,
QC022,1,Author information preserved for every resolved correction case,10,10,PASS,
QC023,1,No ordinary species receives more than one canonical layer,<=1,1,PASS,
QC024,1,No real-Q1 outcome/result field present,0,0,PASS,
QC025,1,No FIA TREE merge executed,0,0,PASS,"Builder reads only frozen aggregate/code, WCVP, Atlas, and eligibility diagnostic inputs."
QC026,1,No Little layer union/selection/reconstruction executed,0,0,PASS,Only canonical unique single rows are flagged; review cases remain unselected.
QC027,1,DRC/DBH species aggregation rebuilt without reinterpretation,361,361,PASS,
QC028,1,Ordinary analysis species IDs are unique,361,361,PASS,
QC029,1,Newly resolved ordinary species have frozen WCVP distribution rows,8,8,PASS,
QC029B,1,Prior exact/nonzero v01 unresolved cases include exact candidate Atlas rows,7,7,PASS,
QC030,1,All mandatory QC checks pass,30,30,PASS,
