required_output,disposition,reason,terminal_status
Q1_D10C_ABUNDANCE_ESTIMATOR_AUTHORITY_v01.md,PRODUCED,Authority audit is the blocking deliverable,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
Q1_D10C_SYNTHETIC_POPULATION_TRUTH_v01.csv,NOT_PRODUCED,Authority gate failed before T_i activation or synthetic truth materialization,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
Q1_D10C_SYNTHETIC_PLOT_OBSERVATIONS_v01.csv.gz,NOT_PRODUCED,Exact A2 observation chain is not authorized/constructible,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
Q1_D10C_A0_LATENT_ABUNDANCE_REFERENCE_v01.csv,NOT_PRODUCED,Calibration experiment not entered,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
Q1_D10C_A1_BROKEN_RAW_COUNT_REFERENCE_v01.csv,NOT_PRODUCED,Calibration experiment not entered,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
Q1_D10C_A2_DESIGN_BASED_CELL_MASS_ESTIMATES_v01.csv.gz,NOT_PRODUCED,Exact plot-to-weight join absent,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
Q1_D10C_ABUNDANCE_RECOVERY_METRICS_v01.csv,NOT_PRODUCED,No authorized A2 estimates,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
Q1_D10C_SAMPLING_INTENSITY_LEAKAGE_AUDIT_v01.csv,NOT_PRODUCED,No authorized A2 estimates,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
Q1_D10C_ORACLE_Q1_PRESERVATION_RESULTS_v01.csv,NOT_PRODUCED,Downstream audit not entered,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
Q1_D10C_STRONG_NULL_SEPARATION_v01.csv,NOT_PRODUCED,Downstream audit not entered,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
Q1_D10C_COMPARISON_WITH_D10B_v01.csv,NOT_PRODUCED,No D10C A2 result exists,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
Q1_D10C_RESULT_NOTE_v01.md,PRODUCED,Direct Q1-Q7 blocked-state answers,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
complete reproducibility code,PRODUCED,"Authority-gate audit, validation, and packaging code",INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
SHA256SUMS.csv,PRODUCED_AT_PACKAGE_STAGE,Package checksum manifest,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
TRANSFER_MANIFEST_v01.csv,PRODUCED_AT_PACKAGE_STAGE,Relay v0.2.2 native manifest,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
REGISTRY_DELTA_v01.csv,PRODUCED,Blocked-state registry delta,INPUT_BLOCKED_ABUNDANCE_ESTIMATOR_AUTHORITY_FAILURE
