evidence,estimand,conditioning,result,interpretation,limitation,status,next action
B14 v01 parent validity,B14 v01 artifact status,accepted parent hashes and history,01be93dee2184a44ca89f72016d459cdf0792038d6d19d1536aafe4535371208,Parent implementation followed its contract and remains accepted empirical stress evidence.,Its failure-conditioned outer envelope is not the primary v01_1 estimand.,ACCEPTED_EMPIRICAL_STRESS_EVIDENCE,Preserve parent without modification.
observed singleton point exposure,actual24 × direct97,actual E_OBSERVED point omission,maximum=0.0126727477,Observed positive exposure remains localized.,Observed zero does not prove target-stratum zero.,ACCEPTED_DERIVED_MATERIALITY_EVIDENCE,Use observed state to select frozen calibration.
selected-zero hidden-positive incidence,all pseudo targets,h_g under target-equal weighting,h=0.020657851,Failure incidence is distinct from conditional severity.,Empirical transport frequency is not biological detection probability.,B14_V01_1_TARGETED_CORRECTION_EVIDENCE,Carry h by frozen design match.
failure-conditioned severity,selected y=0 and target positive,TV conditional on Z+,median=0.0027135019; p95=0.053572443; max=1,B14 v01 severity conclusion remains valid.,Conditioning does not estimate how often Z+ occurs.,ACCEPTED_EMPIRICAL_STRESS_EVIDENCE,Retain as diagnostic only.
observed-zero mixture stress,selected y=0,Z0+Z+ primary mixture,mean=0.00030294508; p95=0; max=1,This aligns with information observed at an actual zero singleton.,Pseudo-to-actual transport remains empirical.,B14_V01_1_TARGETED_CORRECTION_EVIDENCE,Use MIX_MEAN and MIX_P95.
selected-positive stress,selected y>0,positive-observation pseudo calibration,mean=0.049772543; p95=0.22801588; max=0.95596492,Positive actual observations no longer borrow zero-selected stress.,Only one actual species-case is positive.,B14_V01_1_TARGETED_CORRECTION_EVIDENCE,Apply only to Y_POSITIVE cases.
high-TI incidence,TI ≥ p99,target-equal hidden-positive frequency,h=0.0055787791,Reports incidence separately in the upper TI tail.,High-TI support is thinner.,B14_V01_1_TARGETED_CORRECTION_EVIDENCE,Retain frozen fallback rules.
high-TI severity,TI ≥ p99 and Z+,failure-conditioned TV,p95=0.046609982; max=0.06506392,Tail severity remains visible when failure occurs.,Not a primary mixture envelope.,B14_V01_1_TARGETED_CORRECTION_EVIDENCE,Do not multiply severity by assumed 100% incidence.
target-equal weighting,pseudo target then species then plot,equal target mass,max target weight error=1.1102230246251565e-16,Primary weighting prevents large-n targets from dominating.,Species are sampled uniformly across frozen direct97.,FROZEN_FOR_V01_1,Use as primary calibration.
event-equal sensitivity,legacy parent events,each retained-plot event equal,legacy Z+ count=1193386,Reproduces B14 v01 where applicable.,Larger-n targets receive more weight.,SECONDARY_SENSITIVITY,Report beside target-equal results.
AB two-case aggregate,AB direction,state-aligned marginal summaries,max p95=0; max mean sum=5.8947598e-05,Two cases yield a limited marginal aggregate.,No joint independence model is fitted.,B14_V01_1_TARGETED_CORRECTION_EVIDENCE,Keep direction separate.
BA twenty-two-case aggregate,BA direction,state-aligned marginal summaries,max p95=0.22801588; max mean sum=0.051218386,Twenty-two marginal means can accumulate without using conditional-p95 sums.,"Triangle sum is an upper sum, not joint expected TV.",B14_V01_1_TARGETED_CORRECTION_EVIDENCE,Keep raw and capped values.
Abies procera,SPCD 22,positive-state calibration for its observed-positive case,observed max TV=0.012672748,Only observed-positive direct97 exposure is handled with Y_POSITIVE calibration.,Localized observed sensitivity does not close hidden-positive tails.,B14_V01_1_TARGETED_CORRECTION_EVIDENCE,Retain dedicated ledger.
direct97 cohort,97 direct species,max individual state-aligned p95 and marginal mean triangle sum,category=LOCALIZED_SPECIES_LEVEL_SENSITIVITY,Conclusion uses observed-state mixtures rather than failure-conditioned p95 sums.,Final singleton subgate remains mainline authority.,LOCALIZED_SPECIES_LEVEL_SENSITIVITY,Return recommendation to mainline.
need for further covariance modeling,D10F-C gate,method necessity assessment,Not established by this correction,Mixture stress does not identify a covariance estimator.,"Transport heterogeneity may require later evidence, not automatic model expansion.",B14_V01_1_MIXTURE_CORRECTION_COMPLETE,Reopen only if mainline identifies decision-relevant unresolved transport.
