index,table,field,current_definition,unit,estimator_role,EVALID_dependence,required_join_key,authoritative_source,uncertainty_caveat
0,TREE,TPA_UNADJ,"Trees per acre unadjusted: number of trees per acre represented by the sampled tree based on sample design; mapped fixed-radius values SUBP=6.018046, MICR=74.965282, MACR=0.999188.",trees/acre per sample tree,Tree-level per-acre contribution before nonresponse/stratum expansion.,Indirect: value is design-specific; population use must join a coherent evaluation.,TREE.PLT_CN -> PLOT/COND; through plot to population strata,S02; S03,For old variable-radius designs value may depend on tree diameter. Must not be treated as a population total by itself.
1,TREE,STATUSCD,Tree status code; STATUSCD=1 identifies live trees in official population-estimation examples.,code,Filters Q1 target to live trees.,"No direct EVALID field dependence, but only records belonging to chosen evaluation may enter estimate.","TREE.PLT_CN, TREE.CONDID",S03,D09 does not select final Q1 biological exclusions beyond the frozen live-tree object.
2,TREE,DIA,Diameter used by official estimator logic to select microplot/subplot/macroplot adjustment factor.,inches,Determines sample element/adjustment factor in Example 3-3.,No direct EVALID field dependence.,TREE.PLT_CN -> PLOT.MACRO_BREAKPOINT_DIA,S03,"For frozen large-tree object (>=5 in d.b.h./d.r.c.), microplot is normally excluded; macroplot may still apply above breakpoint."
3,PLOT,MACRO_BREAKPOINT_DIA,Diameter breakpoint above which trees are sampled on macroplot when macroplot design applies.,inches,Selects ADJ_FACTOR_MACR rather than SUBP for sufficiently large trees.,Plot/design dependent; can vary by inventory/design.,PLOT.CN = TREE.PLT_CN,S03,Null/absent breakpoint is treated as no macroplot breakpoint in official example logic.
4,COND,COND_STATUS_CD,Condition status; official forest-land examples use COND_STATUS_CD=1.,code,Defines forest-land domain when forest land is target denominator/domain.,Evaluation-specific through plot membership.,COND.PLT_CN=PLOT.CN; TREE.CONDID=COND.CONDID,S03,Q1 target total over all land vs forest-land restriction is a mainline target-definition issue; current frozen object refers qualifying trees represented by survey data.
5,POP_STRATUM,EXPNS,Area represented by the sampled unit; usually a plot. Official guide: stratum area divided by number of sampled plots in that stratum.,acres per sampled unit (when area is acres),Converts adjusted per-acre plot/tree contribution to population total contribution.,YES; stratum/evaluation/restratification dependent.,POP_STRATUM.CN = POP_PLOT_STRATUM_ASSGN.STRATUM_CN,S03; S04,Not a universal tree weight independent of evaluation. Reusing it after changing the sample can be invalid.
6,POP_STRATUM,ADJ_FACTOR_SUBP,Adjustment factor for subplot; compensates partially nonsampled plot area.,dimensionless,Multiplies TPA_UNADJ for subplot-measured trees.,YES; stored on evaluation-specific stratum record.,POP_STRATUM.CN -> PPSA.STRATUM_CN,S03; S02,Current national field name verified as ADJ_FACTOR_SUBP.
7,POP_STRATUM,ADJ_FACTOR_MICR,Adjustment factor for microplot; compensates partially nonsampled plot area.,dimensionless,Multiplies TPA_UNADJ for microplot trees/seedlings.,YES; stored on evaluation-specific stratum record.,POP_STRATUM.CN -> PPSA.STRATUM_CN,S03; S02,Not normally used for frozen >=5-inch large-tree object.
8,POP_STRATUM,ADJ_FACTOR_MACR,Adjustment factor for macroplot; compensates partially nonsampled plot area.,dimensionless,Multiplies TPA_UNADJ for macroplot-measured large trees.,YES; stored on evaluation-specific stratum record.,POP_STRATUM.CN -> PPSA.STRATUM_CN,S03; S02,Must be respected where macroplot breakpoint/design applies.
9,POP_STRATUM,P1POINTCNT,Phase-1 point/pixel count for stratum used to derive stratum weight in FIADB implementation.,count,Supports W_h / phase-1 stratum area proportion.,YES; tied to restratification/evaluation.,POP_STRATUM.ESTN_UNIT_CN -> POP_ESTN_UNIT.CN,S03; S04,Current poststratification concept is wall-to-wall pixel proportion; FIADB stores phase-1 counts for implementation.
10,POP_STRATUM,P2POINTCNT,Phase-2 sampled plot count associated with stratum.,count,Supports sample-size/expansion and variance bookkeeping.,YES; tied to evaluation.,POP_STRATUM.CN -> PPSA.STRATUM_CN,S02; S03,"For custom domain variance, parent stratum sample counts remain relevant even when many domain observations are zero."
11,POP_STRATUM,CN,Unique stratum record identifier.,identifier,Key joining plot assignment to the evaluation-specific stratum.,YES.,PPSA.STRATUM_CN = POP_STRATUM.CN,S02; S03,"Use CN keys, not human-readable STRATUMCD alone, for joins."
12,POP_PLOT_STRATUM_ASSGN,PLT_CN,Foreign key linking population plot-stratum assignment to PLOT.,identifier,Connects a measured plot visit to design information.,YES; assignment rows are evaluation-specific.,PLT_CN = PLOT.CN,S02; S03,A plot can have assignment records for different evaluations; choose coherent EVALID.
13,POP_PLOT_STRATUM_ASSGN,STRATUM_CN,Foreign key linking a plot assignment to POP_STRATUM.,identifier,Assigns plot to poststratum for an evaluation.,YES.,STRATUM_CN = POP_STRATUM.CN,S02; S03,Critical for valid EXPNS/adjustment factor association.
14,POP_PLOT_STRATUM_ASSGN,EVALID,Evaluation identifier on plot-stratum assignment.,identifier,Guards against mixing plot assignments from different evaluations.,YES.,EVALID -> evaluation context,S02; S09,Calendar-year filtering without EVALID coherence can select records outside one official design object.
15,POP_ESTN_UNIT,CN,Unique estimation-unit record identifier.,identifier,Parent unit for strata; basic building block for geographic totals.,YES.,POP_STRATUM.ESTN_UNIT_CN = POP_ESTN_UNIT.CN,S02; S04,Estimation units do not cross State boundaries.
16,POP_ESTN_UNIT,EVAL_CN,Foreign key from estimation unit to POP_EVAL.,identifier,Connects estimation unit/strata to a specific evaluation.,YES.,POP_ESTN_UNIT.EVAL_CN = POP_EVAL.CN,S03,Required to keep design metadata coherent.
17,POP_ESTN_UNIT,AREA_USED,Area used to calculate expansion factors.,acres,Parent-population area basis for expansion.,YES.,POP_ESTN_UNIT.CN -> POP_STRATUM.ESTN_UNIT_CN,S02; S05,"For custom area control at 50 km, existing AREA_USED is parent EU area, not automatically the cell area."
18,POP_EVAL,CN / EVALID,Evaluation record and identifier.,identifier,Defines statistical sample/target population/stratification package.,YES by definition.,POP_ESTN_UNIT.EVAL_CN = POP_EVAL.CN; POP_EVAL_TYP.EVAL_CN = POP_EVAL.CN,S09; S03,A national 2017–2023 calendar filter is not itself one EVALID.
19,POP_EVAL_GRP,EVAL_GRP / CN,Groups evaluations used together by reporting tool/API.,identifier,User-facing selection of inventory/evaluation group.,YES.,POP_EVAL_TYP.EVAL_GRP_CN = POP_EVAL_GRP.CN,S03; S07,Current FIADB-API 'wc' usually uses State FIPS + report year.
20,PLOT/PLOTGEOM,LAT/LON public coordinates,Public coordinates are perturbed; exact coordinates confidential.,decimal degrees,Potentially assigns plot to user-defined spatial domain.,Not a weight field.,PLOT.CN / PLOTGEOM.CN,S10,"Most public coordinates moved <=0.5 mile, remainder up to 1 mile; some private plots swapped within county. Exact 50-km boundary membership is therefore uncertain in public FIADB."
