source_id,source_name,authority,url_or_local_path,publication_or_version,accessed_date,cases_supported,evidence_fields,role_and_limit
S01,D08B frozen 10-row ambiguous/unresolved queue,Q1 frozen D08B,release_mirror/Q1-D08B-v01-20260902/authoritative_outputs/Q1_TAXONOMY_AMBIGUOUS_UNRESOLVED_QUEUE_v01.csv,D08B v01 frozen,2026-09-02,363;372;744;820;822;840;6511;6955;8355;8563,raw code/name; WCVP candidate ids/statuses/alternatives,Frozen starting state only.
S02,D08B frozen taxon-range master,Q1 frozen D08B,release_mirror/Q1-D08B-v01-20260902/authoritative_outputs/Q1_TAXON_RANGE_MASTER_v01.csv,D08B v01 frozen,2026-09-02,143,WCVP 380213 synonym -> 3317681 Pinus × kohae,Frozen starting state and WCVP ID chain.
S03,FIADB EVALIDator REF_SPECIES schema,USDA Forest Service FIA,https://apps.fs.usda.gov/fiadb-api/fullreport/parameters/cselected,current official endpoint,2026-09-02,all 11,SPCD/common name/genus/species/variety schema,Establishes code/name concept and that standard REF_SPECIES schema lacks author.
S04,FIA/BIGMAP official species-code list,USDA Forest Service FIA,https://data.fs.usda.gov/geodata/rastergateway/bigmap/,current official list,2026-09-02,363;372;744;820;822;840;143,species code/common/scientific name,Code/concept disambiguation; especially adjacent Populus and Quercus codes.
S05,FIA 2026 Urban field guide,USDA Forest Service FIA,https://research.fs.usda.gov/sites/default/files/2026-03/pnw-2026_v9-5_pnw_urban_fia_field_manual.pdf,"v9.5, 2026",2026-09-02,8563,8563; Brazilian peppertree; Schinus terebinthifolius; SCTE,Code-specific FIA identity.
S06,Official FIA/Forest Service code-840 reports,USDA Forest Service,https://research.fs.usda.gov/treesearch/download/43621.pdf,official FIA report,2026-09-02,840,code/common-name continuity; Quercus margaretta spelling,Supports concept continuity across spellings.
S07,USFS swamp bay taxon source,USDA Forest Service,https://research.fs.usda.gov/treesearch/63661,2022,2026-09-02,6511,Persea palustris (Raf.) Sarg.; swamp bay,Author-bearing Forest Service concept.
S08,USFS strawberry guava source,USDA Forest Service,https://research.fs.usda.gov/treesearch/65494,official Forest Service report,2026-09-02,8355,Psidium cattleianum Sabine; strawberry guava,Author/common-name concept.
S09,USFS FEIS Brazilian pepper review,USDA Forest Service,https://research.fs.usda.gov/feis/species-reviews/schter,official FEIS,2026-09-02,8563,Schinus terebinthifolius Raddi; Brazilian pepper,Author-bearing concept.
S10,Forest Service crack-willow context,USDA Forest Service,https://www.fs.usda.gov/,bounded official-source search,2026-09-02,6955,general Salix fragilis L./crack-willow usage,"Context only; not code-6955-specific, explicitly insufficient."
S11,POWO Arbutus xalapensis Kunth,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:309483-2,WCVP/POWO current,2026-09-02,363,author/status/stable id/native range,Accepted candidate.
S12,POWO Betula lenta L. and Du Roi,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:295125-1,WCVP/POWO current,2026-09-02,372,authors/accepted vs synonym target,Homonym disambiguation.
S13,POWO Populus heterophylla L. and Du Roi,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:776712-1,WCVP/POWO current,2026-09-02,744,authors/accepted vs synonym target,Homonym disambiguation.
S14,POWO Quercus laurifolia Michx. and Miq.,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296368-1,WCVP/POWO current,2026-09-02,820,authors/accepted vs Lithocarpus target,Homonym disambiguation.
S15,POWO Quercus lyrata Walter / Q. lobata synonymy,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324855-2,WCVP/POWO current,2026-09-02,822,author/status/competing target,Homonym disambiguation.
S16,POWO Quercus margaretta (Ashe) Small,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:216046-2,WCVP/POWO current,2026-09-02,840,accepted spelling/author/id/range,Accepted concept after spelling normalization.
S17,POWO Persea palustris / Tamala palustris,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:190715-2,WCVP/POWO current,2026-09-02,6511,synonym path; target Unplaced,Closes identity; no current Accepted target.
S18,POWO Salix fragilis concepts,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:777611-1,WCVP/POWO current,2026-09-02,6955,Host misapplied concepts; Salix × fragilis accepted hybrid,Candidate taxonomy only; FIA code identity remains unknown.
S19,POWO Psidium cattleyanum Sabine,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:600760-1,WCVP/POWO current,2026-09-02,8355,accepted spelling/author/id/range,Spelling standardization target.
S20,POWO Schinus terebinthifolia Raddi,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:71069-1,WCVP/POWO current,2026-09-02,8563,accepted spelling/author/id/range,Spelling standardization target.
S21,POWO Pinus × kohae Frankis,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77347443-1,WCVP/POWO current,2026-09-02,143,accepted hybrid; synonym; parentage; native distribution,Closes hybrid identity; no core-analysis decision.
S22,POWO alternate Arbutus homonym via Comarostaphylis polifolia subsp. polifolia,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77229905-1,WCVP/POWO current,2026-09-02,363,Arbutus xalapensis Andrews ex Hook. in synonym list; accepted Comarostaphylis target,Competing homonym evidence.
S23,POWO Betula lenta Du Roi,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:295124-1,WCVP/POWO current,2026-09-02,372,Du Roi author; synonym target Betula pubescens var. pubescens,Competing homonym evidence.
S24,POWO Populus heterophylla Du Roi,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:776714-1,WCVP/POWO current,2026-09-02,744,Du Roi author; synonym target Populus deltoides subsp. monilifera,Competing homonym evidence.
S25,POWO Quercus laurifolia Miq.,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296369-1,WCVP/POWO current,2026-09-02,820,Miq. author; synonym target Lithocarpus korthalsii,Competing homonym evidence.
S26,POWO Quercus lobata Née,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296396-1,WCVP/POWO current,2026-09-02,822,Quercus lyrata Spreng. listed as synonym of Q. lobata,Competing homonym evidence.
S27,POWO Tamala palustris Raf.,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:468689-1,WCVP/POWO current,2026-09-02,6511,target status Unplaced; homotypic synonym Persea palustris,Target-status evidence.
S28,POWO Salix fragilis Host — male-use concept,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:777613-1,WCVP/POWO current,2026-09-02,6955,Host male-use concept -> Salix euxina,One incompatible candidate.
S29,POWO Salix fragilis Host — female-use concept,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2921957-4,WCVP/POWO current,2026-09-02,6955,Host female-use concept -> Salix pentandra,One incompatible candidate.
S30,POWO Salix × fragilis L.,"Royal Botanic Gardens, Kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:777611-1,WCVP/POWO current,2026-09-02,6955,accepted hybrid; S. alba × S. euxina; Türkiye native,Separate accepted hybrid candidate; does not identify FIA code.
