index,source_id,authority,title,year,version,document_type,URL_or_DOI,section,page,fact_supported,retrieved_date,notes
0,S01,USDA Forest Service FIA / Nationwide Forest Inventory,Nationwide Forest Inventory,2026,current web page,official program/data-and-tools page,https://research.fs.usda.gov/programs/nfi,Overview; Data Analysis Tools,,"FIA uses a probabilistic plot sample; current NFI page describes about one plot per 6,000 acres, 5–10 year remeasurement depending on State; EVALIDator/FIADB-API produce population estimates and sampling errors as totals (e.g. number of trees) and ratios (e.g. trees per acre of forest land).",2026-09-02,Current high-level program description. Exact estimator mechanics taken from S03/S04.
1,S02,USDA Forest Service FIA,The Forest Inventory and Analysis Database User Guide (NFI),2025,"FIADB Database Description v9.4, revision 08.2025",official FIADB database description/user guide,https://research.fs.usda.gov/sites/default/files/2025-08/wo-v9-4_Aug2025_UG_FIADB_database_description_NFI.pdf,TREE 3.1.92 TPA_UNADJ; Chapter 9 Population tables,3-35; 9-3 onward,Current TREE.TPA_UNADJ definition and fixed-radius values; current population table names; TPA_UNADJ must be adjusted using POP_STRATUM factors to derive population estimates.,2026-09-02,"Current frozen-schema authority. TPA_UNADJ exact values: SUBP 6.018046, MICR 74.965282, MACR 0.999188 for mapped design."
2,S03,USDA Forest Service FIA,The Forest Inventory and Analysis Database: Population Estimation User Guide,2018,Edition November 2018,official population estimation user guide,https://research.fs.usda.gov/sites/default/files/2024-05/wo-nov2018_ug_population_estimation.pdf,Chapter 3 Linking the Appropriate Tables; Example 3-3; Chapter 4 Sampling Errors; Chapter 5,"3-1, 3-6–3-7; PDF pp. 31–36; 5-1 onward",EXPNS meaning; adjustment factors; official table join path; official total-number-of-live-trees SQL semantics; live tree filter STATUSCD=1; sampling-error implementation.,2026-09-02,Operational FIADB estimator source. Example 3-3 explicitly estimates total number of live trees.
3,S04,USDA Forest Service FIA,Sampling and estimation documentation for the Enhanced Forest Inventory and Analysis Program: 2022,2022,NRS-GTR-207,official General Technical Report,https://doi.org/10.2737/NRS-GTR-207,Chapter 2 Foundational Documentation; Appendix 1 Forest Area Estimation and Area Control Revisited,Chapter 2 pp. 4–16; Appendix 1 pp. 102–121,"Phase 1/2 design, hex sample, plot design, poststratification, domain estimator and variance, estimation units, summation across units/States, user-defined GIS polygon domains, area-control options, small-area limitations.",2026-09-02,Primary statistical-design authority for D09. States that EVALIDator/DATIM can estimate user-defined populations such as GIS polygons via domains across all estimation units.
4,S05,USDA Forest Service FIA,The enhanced forest inventory and analysis program - national sampling design and estimation procedures,2005,SRS-GTR-80,official General Technical Report,https://doi.org/10.2737/SRS-GTR-80,"Sampling frame, plot design, sample-based estimators, combining panels",full report 85 p.; relevant chapters pp. 11–84,"Foundational national sampling frame, plot as primary sample location, sample-based estimators, annual panel framework.",2026-09-02,Still cited by current 2022 official documentation for foundational methods.
5,S06,USDA Forest Service FIA,Combining panels for Forest Inventory and Analysis estimation,2005,Chapter 5 in SRS-GTR-80,official methods chapter,https://research.fs.usda.gov/treesearch/20380,5.1 Single Panels vs. Multiple Panels,79–84,FIA assumes complete spatial coverage for each panel; single-panel estimation follows standard method; combining panels may require method modification depending on how panels are combined.,2026-09-02,"Relevant to temporal-window and A/B questions, but does not prescribe Q1 half-sample cross-fitting."
6,S07,USDA Forest Service FIA,FIADB-API & EVALIDator User Documentation,2026,API current; page revision 2026,official live API documentation,https://apps.fs.usda.gov/fiadb-api,/fullreport,,fullreport is the primary Phase 2 estimate endpoint; wc is evaluation group; EVALIDator can produce population estimates and sampling errors; circular spatial estimates are supported in current API.,2026-09-02,"Implementation semantics, not a replacement for statistical theory."
7,S08,USDA Forest Service FIA,EVALIDator wc Table,2026,"API v2.1.7, revision 2026-07-30",official live evaluation-group table,https://apps.fs.usda.gov/fiadb-api/fullreport/parameters/wc,State evaluation groups / inventory-year members,,State EVALID/EVAL_GRP windows differ. Examples: Delaware 102023=2017–2023; Florida 122023=2016–2023; California 062023=2013–2023; Washington 532023=2014–2023.,2026-09-02,Direct proof that calendar 2017–2023 is not a single coherent nationwide official evaluation.
8,S09,USDA Forest Service FIA,FIA Glossary: Standard Terminology,2022,Revision 10.27.2022,official glossary,https://research.fs.usda.gov/sites/default/files/2023-08/wo-fia_glossary_standardterms20221102.pdf,Evaluation; EVALID; estimation unit,Glossary-8 and related entries,"Evaluation is the unique combination of statistical sample, target population, and stratification used for estimates at a point in time; EVALID uniquely identifies the population/evaluation used for an estimate.",2026-09-02,Terminology authority.
9,S10,USDA Forest Service FIA,Spatial Data Services,2026,current web page,official spatial-data/confidentiality page,https://research.fs.usda.gov/programs/fia/sds,Public coordinates; fuzzing and swapping,,"Exact plot coordinates are confidential. Public coordinates are perturbed: most within 0.5 mile, remainder up to 1 mile; some private forest plots are swapped within the same county.",2026-09-02,Critical caveat for assigning public FIADB plots to exact 50-km cell boundaries.
