case_id,state,source_evalid,fold,applied_level,field,hard_filter_in_b9,target_value,candidate_values_seen,candidate_plot_rows_before_filter,exclusion_count_for_field,why_included_or_descriptive,evidence_basis,final_authority_remains_open,compatibility_followup_candidate,notes
S01,CA,62301,A,LEVEL1,DESIGNCD,YES,xwalk=501|plot=501,xwalk=501|plot=501,1029,0,"Exact target match prevents mixing national/special design codes, including WA 501 versus 502.",PROJECT_SPECIFIC_CANDIDATE_USING_ACCEPTED_B7_B8_LOCAL_IDENTITIES,YES,NO,B9 filter is not represented as an official FIA exact grouping rule.
S01,CA,62301,A,LEVEL1,INTENSITY,YES,1,1;201;202,1029,14,"Exact target intensity removes non-base material when the target is base, and symmetrically matches other target intensity values.",PROJECT_SPECIFIC_CANDIDATE_USING_ACCEPTED_B7_B8_LOCAL_IDENTITIES,YES,NO,B9 filter is not represented as an official FIA exact grouping rule.
S01,CA,62301,A,LEVEL1,QA_production_class,YES,QA_STATUS=7|class=PRODUCTION,QA_STATUS=1|class=PRODUCTION;QA_STATUS=7|class=PRODUCTION,1029,0,Production versus non-production class is matched; QA codes 1 and 7 are both production.,PROJECT_SPECIFIC_CANDIDATE_USING_ACCEPTED_B7_B8_LOCAL_IDENTITIES,YES,NO,B9 filter is not represented as an official FIA exact grouping rule.
S01,CA,62301,A,LEVEL1,raw_DESIGNCD,YES,501,501,1029,0,Exact raw code is checked when both sides are recoverable so normalization cannot hide a design difference.,PROJECT_SPECIFIC_CANDIDATE_USING_ACCEPTED_B7_B8_LOCAL_IDENTITIES,YES,NO,B9 filter is not represented as an official FIA exact grouping rule.
S01,CA,62301,A,LEVEL1,repair_class,YES,R0,R0,1029,0,Exact repair identity preserves the frozen design-resolution path.,PROJECT_SPECIFIC_CANDIDATE_USING_ACCEPTED_B7_B8_LOCAL_IDENTITIES,YES,NO,B9 filter is not represented as an official FIA exact grouping rule.
S01,CA,62301,A,LEVEL1,special_nonfederal_augmentation_identity,YES,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,1029,0,Any separately explicit local exception would require the same target identity; none was separately recovered beyond design/intensity fields.,PROJECT_SPECIFIC_CANDIDATE_USING_ACCEPTED_B7_B8_LOCAL_IDENTITIES,YES,NO,B9 filter is not represented as an official FIA exact grouping rule.
S01,CA,62301,A,LEVEL1,KINDCD,NO,2,1;2,1029,0,Descriptive inventory only under the frozen B9 task; not used to exclude material.,B9_TASK_EXPLICITLY_DESCRIPTIVE_OR_NOT_ENUMERATED_AS_HARD_FILTER,YES,YES,Variation is recorded for mainline review and is not silently promoted into a filter.
S01,CA,62301,A,LEVEL1,MANUAL,NO,9,6.1;7;7.1;9,1029,0,Descriptive inventory only under the frozen B9 task; not used to exclude material.,B9_TASK_EXPLICITLY_DESCRIPTIVE_OR_NOT_ENUMERATED_AS_HARD_FILTER,YES,YES,Variation is recorded for mainline review and is not silently promoted into a filter.
S01,CA,62301,A,LEVEL1,MEASYEAR,NO,2021,2015;2016;2017;2020;2021;2022,1029,0,Descriptive inventory only under the frozen B9 task; not used to exclude material.,B9_TASK_EXPLICITLY_DESCRIPTIVE_OR_NOT_ENUMERATED_AS_HARD_FILTER,YES,YES,Variation is recorded for mainline review and is not silently promoted into a filter.
S01,CA,62301,A,LEVEL1,NF_regional_flags,NO,NF_SAMPLE=0|NF_PLOT=MISSING|RSCD=26,NF_SAMPLE=0|NF_PLOT=MISSING|RSCD=26;NF_SAMPLE=1|NF_PLOT=1|RSCD=26;NF_SAMPLE=1|NF_PLOT=3|RSCD=26;NF_SAMPLE=1|NF_PLOT=MISSING|RSCD=26;NF_SAMPLE=MISSING|NF_PLOT=MISSING|RSCD=26,1029,0,Descriptive inventory only under the frozen B9 task; not used to exclude material.,B9_TASK_EXPLICITLY_DESCRIPTIVE_OR_NOT_ENUMERATED_AS_HARD_FILTER,YES,YES,Variation is recorded for mainline review and is not silently promoted into a filter.
S01,CA,62301,A,LEVEL1,PLOT_STATUS_CD,NO,1,1;2,1029,0,Descriptive inventory only under the frozen B9 task; not used to exclude material.,B9_TASK_EXPLICITLY_DESCRIPTIVE_OR_NOT_ENUMERATED_AS_HARD_FILTER,YES,YES,Variation is recorded for mainline review and is not silently promoted into a filter.
S01,CA,62301,A,LEVEL1,SAMP_METHOD_CD,NO,1,1;2,1029,0,Descriptive inventory only under the frozen B9 task; not used to exclude material.,B9_TASK_EXPLICITLY_DESCRIPTIVE_OR_NOT_ENUMERATED_AS_HARD_FILTER,YES,YES,Variation is recorded for mainline review and is not silently promoted into a filter.
S01,CA,62301,A,LEVEL1,SUBPANEL,NO,1,1;2,1029,0,Descriptive inventory only under the frozen B9 task; not used to exclude material.,B9_TASK_EXPLICITLY_DESCRIPTIVE_OR_NOT_ENUMERATED_AS_HARD_FILTER,YES,YES,Variation is recorded for mainline review and is not silently promoted into a filter.
