check_id,required_for_engineering_pass,description,expected,observed,status,note
QC001,1,Frozen candidate universe row count,396,396,PASS,
QC002,1,Frozen candidate codes unique,396,396,PASS,
QC003,1,Taxon-range master row count,396,396,PASS,
QC004,1,Taxon-range master codes unique,396,396,PASS,
QC005,1,Taxon-range master code set equals candidate set,True,True,PASS,
QC006,1,All mapping classes allowed,none invalid,,PASS,
QC007,1,Every resolved synonym has explicit matched and accepted WCVP IDs,34,34,PASS,
QC008,1,Every resolved infraspecific path has explicit parent species ID,15,15,PASS,
QC009,1,No aggregate/hybrid/ambiguous/unresolved code assigned an analysis species,0,0,PASS,
QC010,1,Every analysis taxon is a WCVP Accepted species,354,354,PASS,
QC011,1,Every distribution record queried by accepted analysis-species ID,9429,9429,PASS,
QC012,1,All matching WCVP Level-3 distribution rows retained,9429,9429,PASS,
QC013,1,Confirmed-current-native excludes introduced/extinct/doubtful,True,True,PASS,
QC014,1,Introduced rows never enter confirmed native,0,0,PASS,
QC015,1,Extinct rows never enter confirmed current native,0,0,PASS,
QC016,1,Location-doubtful rows never enter confirmed current native,0,0,PASS,
QC017,1,No analysis species receives more than one canonical USGS layer,<=1,1,PASS,Multi-layer rows remain review-only; no union constructed.
QC018,1,Review-required USGS cases have no canonical layer,0,0,PASS,
QC019,1,All frozen DRC codes retained as main-analysis candidates,35,35,PASS,
QC020,1,Official >=5-inch DBH/DRC large-tree flag preserved,396,396,PASS,
QC021,1,No real-Q1 outcome fields computed,0,0,PASS,
QC022,1,WCVP frozen ZIP hash verified,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,d32ea2b3a85e489b14e83bcc9eae7274532e1d113753f7be290d4b2dfde573fa,PASS,
QC023,1,Atlas G Table 1 frozen hash verified,fdca3c163d856aeea7b15ec5f80e18750701a880ee8f9f4c1bd5cc076f26292b,fdca3c163d856aeea7b15ec5f80e18750701a880ee8f9f4c1bd5cc076f26292b,PASS,
QC024,1,Atlas G Table 1 parsed row count,690,690,PASS,
