mapping_id,evidence_class,proposition,observed_or_supported_value,evidence_source,status,limitation
WV-D01,DEMONSTRATED,Union population identity,WV_EU_3_4 = EU3 union EU4; source EU labels retained as provenance,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv,PASS,"This is a project-defined R2 merged population, not the original separate-EU estimator."
WV-D02,DEMONSTRATED,Population area identity,23014.8 + 51962.0 = 74976.8 acres,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv,PASS_EXACT,None for arithmetic identity.
WV-D03,DEMONSTRATED,Selected whole-panel partition,A=3-5; B=1-2-4,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_RULE_SELECTED_PARTITIONS_v02.csv,PASS,D09C records mainline_final_acceptance=NOT_DECIDED; B5 task freezes the current operator for qualification.
WV-D04,DEMONSTRATED,Fold and source-EU sample counts,"A n=8 (EU3=2, EU4=6); B n=5 (EU3=0, EU4=5)",D10CA_v01/out/plot_block_xwalk_v01.csv.gz,PASS,"Counts are realized frozen-frame facts, not inclusion probabilities."
WV-D05,DEMONSTRATED,Panel membership matches frozen folds,"A panels=3,5; B panels=1,2; 13/13 expected_fold matches",D10CA_v01/out/plot_block_xwalk_v01.csv.gz,PASS,Observed membership does not recover counterfactual panel assignment probabilities.
WV-D06,DEMONSTRATED,No same-plot overlap between A and B,PLT_CN overlap=0; permanent_plot_id overlap=0,D10CA_v01/out/plot_block_xwalk_v01.csv.gz,PASS,No claim about spatial dependence among distinct plots.
WV-D07,DEMONSTRATED,Pooled coefficient formula,A: 74976.8/8 = 9372.1; B: 74976.8/5 = 14995.36,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv,PASS_EXACT,Algebra identity is not proof of the underlying probability design.
WV-A01,SUPPORTED_BY_B4_AUTHORITY,Combined geographic estimation populations are permitted structurally,FIA permits counties/groups of counties and historical super-counties,"Q1_D10F_B4_VARIANCE_INTERFACE_AUTHORITY_CLOSURE_v01/ledger/D10FB4_WV_OPERATOR_AUTHORITY_MATRIX_v01.csv:B02; Q1_D10F_B4_VARIANCE_INTERFACE_AUTHORITY_CLOSURE_v01/ledger/D10FB4_EVIDENCE_LEDGER_v01.csv:E01,E02",SUPPORTED_ARCHITECTURE,No source directly authorizes the exact project-selected WV merge.
WV-A02,SUPPORTED_BY_B4_AUTHORITY,Subset-panel estimation can motivate combined populations,Historical FIA guidance identifies subset panels as a sparse-population context,"Q1_D10F_B4_VARIANCE_INTERFACE_AUTHORITY_CLOSURE_v01/ledger/D10FB4_EVIDENCE_LEDGER_v01.csv:E02,E03",SUPPORTED_ARCHITECTURE,"Authority supports possibility, not exact local randomization probabilities."
WV-A03,SUPPORTED_BY_B4_AUTHORITY,One-block variance must target the pooled operator itself,B03 one-block FIA-current variance/covariance mapping; B07 separate-EU variance attachment rejected,Q1_D10F_B4_VARIANCE_INTERFACE_AUTHORITY_CLOSURE_v01/ledger/D10FB4_WV_OPERATOR_AUTHORITY_MATRIX_v01.csv,SUPPORTED_FOR_BOUNDED_QUALIFICATION,Production formula awaits actual design/inclusion mapping.
WV-N01,NOT_DEMONSTRATED,Strict exact two-dimensional spatial randomization identity,NOT_IDENTIFIED_IN_FROZEN_ASSETS,D10F-B audit summary; B4 O07,OPEN_BOUNDED_LIMITATION,"B5 synthetic SRS is a qualification world, not a reconstruction of FIA spatial randomization."
WV-N02,NOT_DEMONSTRATED,Exact eligible-location inclusion probabilities by source EU under the selected fold,No frozen pi_k/base-weight counterfactual mapping,"B4 O04,O05; D10C-A observed plot crosswalk",OPEN_BOUNDED_LIMITATION,Common pooled coefficient cannot yet be claimed as an exact calibration/design weight for production.
WV-N03,BOUNDED_INTERPRETATION,Meaning of fold-B EU3=0,Demonstrated realized zero in the frozen frame; structural exclusion versus realized representation imbalance is not strictly identified,"D10CA_v01/out/plot_block_xwalk_v01.csv.gz; Q1_D10F_B4_VARIANCE_INTERFACE_AUTHORITY_CLOSURE_v01/ledger/D10FB4_WV_OPERATOR_AUTHORITY_MATRIX_v01.csv:B09; B4 O04,O06",UNRESOLVED_NOT_AUTOMATIC_BIAS_PROOF,"Observed EU3 plots are both panel 5, but frozen assets do not encode counterfactual panel assignment/inclusion probabilities for eligible EU3 locations."
