check_id,status,observed,expected,details
INPUT_HASHES,PASS,Counter({'PASS': 30}),all PASS,
T2_STATE_ROWS,PASS,48,48,
REAL_EXPVOL_COMPONENTS,PASS,48,48,
NEW_COMPONENT_EVALIDS,PASS,"{'CA': 62301, 'OR': 412301, 'WA': 532301}","{'CA': 62301, 'OR': 412301, 'WA': 532301}",
FIVE_PANEL_CLOSURE,PASS,48,48,
CANDIDATE_ROWS,PASS,480,480,
TEN_CANDIDATES_PER_STATE,PASS,all states,10 each,
RANKS_1_TO_10,PASS,all states,1..10,
WHOLE_PANEL_2_VS_3,PASS,all candidates,A=2;B=3;split=0,
MECHANICAL_TOP_48,PASS,48,48,
VALID_SELECTION_COUNT_CONSISTENT_WITH_BLOCKS,PASS,47,47,
NO_TRUE_EU_BLOCK_SELECTED,PASS,0,0,
COARSENING_PRESERVES_AREA,PASS,0,0,
TI_CLOSURE_CONSISTENT_WITH_BLOCKS,PASS,47,47,
TI_FULL_EXPNS_NOT_REUSED,PASS,all rows,NO,
TI_CONSTANT_CALIBRATION,PASS,Counter({'PASS': 5080}),all PASS,
OR_MISMATCH_EXACT_FOUR,PASS,4,4,
OR_MISMATCH_ALL_RESOLVED_RETAINED,PASS,all rows,YES,
SURVEY_FALSE_UNIQUENESS_NOT_USED,PASS,SURVEY.CN linkage only,STATECD+INVYR uniqueness not required,
WV_NO_RECOVERY_THRESHOLD,PASS,all WV rows,NO,
SPECIES_OUTCOME_DATA_NOT_READ,PASS,only frozen design CSVs and 24 whitelisted raw-design ZIPs,no TREE/species/outcome,
NATIONWIDE_STATUS_ALLOWLIST,PASS,DESIGN_BLOCKED,contract allowlist,
