RULE_PRIORITY,SPCD_MATCH,VISIT_SCOPE,MANUAL_MATCH,DESIGNCD_MATCH,STATECD_ROLE,FIA_RSCD_ROLE,NFS_REGION_MATCH,MAINLAND_LIST_STATUS,NFS_P23_EXCLUSION_STATUS,WOODLAND_DRC_STATUS,TALLY_ELIGIBLE,REASON_CODE,REQUIRED_OFFICIAL_INPUTS,SOURCE_IDS,NOTES
10,<raw FIA SPCD>,CONUS NFI P2/P3 plot visit,exact PLOT.MANUAL,documented P2/P3-compatible design,context only; never substitutes for NFS region,work-unit context only; never substitutes for NFS region,exact office-assigned NFS region known,IN_APPLICABLE_VERSION_MAINLAND_LIST,NOT_ON_VISIT_NFS_REGION_EXCLUSION_LIST,ANY,1,LEGAL_TALLY_TREE,version-matched FIA Tree Species List/exclusion matrix; exact visit NFS region; PLOT.MANUAL; DESIGNCD,S02;S04;S05;S07,Positive authorization rule.
20,<raw FIA SPCD>,CONUS NFI P2/P3 plot visit,exact PLOT.MANUAL,documented P2/P3-compatible design,context only,work-unit context only,exact office-assigned NFS region known,IN_APPLICABLE_VERSION_MAINLAND_LIST,ON_VISIT_NFS_REGION_EXCLUSION_LIST,ANY,0,REGIONAL_P23_EXCLUSION,version-matched FIA Tree Species List/exclusion matrix; exact visit NFS region,S02;S03;S07,Species on an NFS P2/3 exclusion sub-list is not a legal tally tree in that region.
30,<raw FIA SPCD>,CONUS NFI P2/P3 plot visit,exact PLOT.MANUAL,documented P2/P3-compatible design,context only,work-unit context only,ANY,NOT_IN_APPLICABLE_VERSION_MAINLAND_LIST,ANY,ANY,0,NOT_LEGAL_MAINLAND_TALLY_SPECIES,version-matched FIA Tree Species List/Mainland membership,S02;S03,Physical tree may be handled under UNLISTED TREE protocol; do not treat absence of TREE.SPCD as a protocol-authorized species zero without this authority.
40,<raw FIA SPCD>,CONUS NFI P2/P3 plot visit,UNRESOLVED_OR_VERSIONED_LIST_MISSING,ANY,context only,context only,ANY,UNKNOWN,UNKNOWN,ANY,UNKNOWN,MANUAL_VERSION_AUTHORITY_MISSING,version-specific Master/Mainland/NFS exclusion authority matching PLOT.MANUAL,S04;S09;S11,Current list cannot be back-projected across 2017-2023 because exclusion membership changed.
50,<raw FIA SPCD>,CONUS NFI P2/P3 plot visit,exact PLOT.MANUAL,documented P2/P3-compatible design,INSUFFICIENT,INSUFFICIENT,UNRESOLVED,IN_APPLICABLE_VERSION_MAINLAND_LIST,SPECIES_HAS_ONE_OR_MORE_NFS_EXCLUSIONS_IN_APPLICABLE_VERSION,ANY,UNKNOWN,VISIT_NFS_REGION_MISSING,exact office-assigned NFS region or official deterministic crosswalk,S02;S06;S07,State and FIA RSCD cannot replace NFS region.
60,<raw FIA SPCD>,CONUS NFI P2/P3 plot visit,exact PLOT.MANUAL,documented P2/P3-compatible design,context only,context only,UNRESOLVED,IN_APPLICABLE_VERSION_MAINLAND_LIST,PROVEN_NOT_ON_ANY_NFS_P23_EXCLUSION_LIST_IN_APPLICABLE_VERSION,ANY,1,REGION_INVARIANT_LEGAL_TALLY,complete version-matched exclusion matrix proving no NFS exclusion anywhere,S02;S09,NFS region is not needed only when the official versioned authority proves region-invariant eligibility.
70,<raw FIA SPCD>,CONUS NFI P2/P3 plot visit,exact PLOT.MANUAL,documented P2/P3-compatible design,context only,context only,resolved as required,IN_APPLICABLE_VERSION_MAINLAND_LIST,passes applicable exclusion test,WOODLAND/DRC,1,LEGAL_TALLY_TREE_DRC_MEASUREMENT,same eligibility inputs as other taxa plus official woodland designation,S02;S03;S13,"DRC is measurement mode for woodland tally species, not a default exclusion."
80,<raw FIA SPCD>,CONUS NFI P2/P3 plot visit,exact PLOT.MANUAL,documented P2/P3-compatible design,context only,context only,resolved as required,IN_APPLICABLE_VERSION_MAINLAND_LIST,ON_VISIT_NFS_REGION_EXCLUSION_LIST,WOODLAND/DRC,0,DRC_SPECIES_REGIONAL_EXCLUSION,same version/region authority,S03;S13,DRC designation does not override a regional exclusion.
90,<raw FIA SPCD>,plot visit outside documented standard P2/P3 tally protocol,exact PLOT.MANUAL,NONSTANDARD_OR_PROTOCOL_UNRESOLVED,context only,context only,ANY,ANY,ANY,ANY,UNKNOWN,DESIGN_PROTOCOL_UNRESOLVED,official design-specific tally protocol for that DESIGNCD,S05,"DESIGNCD identifies plot design, but no evidence supports using DESIGNCD itself as a species-list selector."
100,<raw FIA SPCD>,CONUS NFI P2/P3 plot visit,ANY,ANY,DO_NOT_USE_AS_NFS_REGION,DO_NOT_USE_AS_NFS_REGION,STATE_OR_RSCD_INFERENCE_ONLY,ANY,ANY,ANY,UNKNOWN,FORBIDDEN_NFS_REGION_INFERENCE,exact office-assigned NFS region or official deterministic public crosswalk,S02;S06;S07,"National guide explicitly states NFS boundaries do not always follow State boundaries; RSCD identifies FIA work unit, not NFS exclusion region."
