check_id,status,observed,expected,details
INPUT_INTEGRITY,PASS,{'PASS': 39},all PASS,
V01_IMMUTABLE_IDENTITY,PASS,25f361eeeddbe02fd2f93d2daa0b0e974926a8d97965505a3bec37a65388ea7e,25f361eeeddbe02fd2f93d2daa0b0e974926a8d97965505a3bec37a65388ea7e,
LEDGER_48_X_10,PASS,480,480,
REPAIR_CLASS_ALLOWLIST,PASS,"['R0', 'R1', 'R2', 'R3']","['R0', 'R1', 'R2', 'R3']",
R2_TRIGGER_MECHANICAL,PASS,['WV'],['WV'],
WV_PARTNER_RESOLVED,PASS,"{'partner': '4', 'status': 'UNIQUE_MINIMUM_PUBLIC_PLOT_CENTROID_DISTANCE'}",unique frozen semantic/proximity result,
WV_PARTNER_SELECTION_INDEPENDENT_OF_AB,PASS,all candidates,NO forbidden selection variables,
WV_COORDINATE_EVIDENCE_COMPLETE,PASS,18,all same-semantic-class full-frame plot rows emitted,
CA_OR_WA_SELECTED_FROM_R0,PASS,"{'CA': 'R0', 'OR': 'R0', 'WA': 'R0'}",R0,
LOWEST_REPAIR_CLASS_SELECTED,PASS,all 48,lowest available,
SELECTED_48,PASS,48,48,
TI_48_STATE_CLOSURE,PASS,48,48,
TI_NO_FULL_EXPNS_REUSE,PASS,all rows,NO,
TI_AREA_CALIBRATION,PASS,{'PASS': 5752},all PASS; zero discarded,
OR_MISMATCH_EXACT_FOUR_RETAINED,PASS,4,4,
SQLITE_ACCESS_WHITELIST,PASS,"['PLOT', 'POP_ESTN_UNIT', 'POP_PLOT_STRATUM_ASSGN']","['PLOT', 'POP_ESTN_UNIT', 'POP_PLOT_STRATUM_ASSGN']",
NO_PROHIBITED_SCIENCE,PASS,design metadata only,no TREE/species/outcome/downstream,
NATIONWIDE_STATUS,PASS,PASS_READY_FOR_MAINLINE_FINAL_D09C_AUDIT,contract allowlist,
