case_id,case_description,status,factual_conclusion,evidence_source,caveat_or_requirement
arbitrary_50km_cell,User-defined equal-area 50-km cell not aligned to FIA administrative domains,CONDITIONAL,"Official FIA theory supports user-defined populations such as GIS polygons as domain d applied across all parent estimation units. Basic domain estimation does not require rebuilding Phase-1 strata for the cell. However, official variance must use parent stratum/EU design quantities, public plot coordinates are perturbed/swapped, and small-cell precision may be poor.",S04; S10,Do not treat public-coordinate membership as exact truth. Do not drop parent-design zero-domain plots from variance calculation.
50km_cell_within_one_state,50-km cell wholly inside one State,CONDITIONAL,Can be treated as a domain across all estimation units intersecting/covering the State-side area under one coherent State evaluation. Sum EU contributions and variances. Exact public-coordinate assignment and sample size remain caveats.,S04; S10,A coherent State EVALID/evaluation is required.
50km_cell_crossing_states,One cell crosses State boundary,CONDITIONAL,"Estimation units cannot cross States, but FIA explicitly sums independent EU/State estimates. A design-consistent construction is therefore piecewise State-domain totals, each under its coherent State design, then sum totals and variances.",S04,"If State evaluation vintages differ, temporal comparability becomes a separate design choice."
cell_crossing_estimation_units,Cell cuts more than one FIA estimation unit,SUPPORTED,Official method forms domain estimates within each estimation unit and sums across independent units. User generally does not see this internal decomposition in EVALIDator/DATIM.,S04,The domain indicator must be applied in every relevant EU.
cell_crossing_strata,Cell cuts multiple poststrata,SUPPORTED,This is normal domain estimation. Keep parent stratum weights W_h and plot sample sizes n_h; plot-level response is zero outside the domain. Cell-specific re-stratification is not required for the basic domain estimator.,S04,"Rebuilding poststrata at cell scale is an optional area-control approach, not a prerequisite for basic domain estimation."
cell_contains_forest_and_nonforest,Cell contains forest and nonforest land,SUPPORTED,"FIA target population includes all land/water. For tree totals, nonforest plots/conditions contribute zero tree response. This is compatible with domain estimation. Trees per forest acre is a different ratio target.",S04,Do not silently condition the sampling frame on forest only unless estimating a forest-land ratio/domain.
cell_few_plots,Cell has very few FIA plots,CONDITIONAL,"Estimator can be formally computed, but direct design-based precision may be poor and variance unstable. FIA literature gives minimum-sample guidance for tested variables, not a universal 50-km/species threshold.",S11; S04,Future bounded diagnostics must set a precision/sample-size gate; D09 does not choose one.
cell_zero_domain_plots_in_estimation_unit,An EU intersecting the geographic cell has no plots classified in domain,SUPPORTED,Official 2022 documentation states estimation units with no plots containing domain d contribute zero to estimate and variance.,S04,"For a genuinely nonzero small domain this can still produce an uninformative zero estimate; this is a precision/small-area limitation, not proof the domain is empty."
naive_select_in_cell_sum_official_weights_point,Select public plots whose coordinates fall in cell and sum TPA_UNADJ×ADJ×EXPNS,CONDITIONAL,"For a coherent parent evaluation, the point-total algebra can be represented as a domain indicator, so zero-domain plots do not change the sum. But the approach is incomplete if it discards parent design information; it is not sufficient for official domain variance, and public-coordinate fuzzing/swapping makes exact cell membership uncertain.",S03; S04; S10,Point estimate equivalence is conditional; official uncertainty requires full design bookkeeping.
naive_select_in_cell_variance,Compute variance only from selected in-cell plots and their existing weights,NOT_SUPPORTED,"Official domain variance uses parent n, n_h, W_h and zeros outside domain. Appendix 1 shows expansion-factor shortcut variance can be materially inaccurate (example 2.5× difference).",S04,Do not infer variance from the selected subset alone.
recalculate_phase1_for_cell,Recalculate Phase-1/poststrat area information specifically for each 50-km cell,CONDITIONAL,"Not required for the basic official domain estimator. It is the first/preferred option when the cell itself is to be an area-controlled population, provided adequate sample size. A known-domain-area ratio approach is another official area-control option.",S04,Mainline must decide whether Q1 needs basic domain total or explicit cell area control.
public_coordinates_exact_cell_membership,Assign plots to exact 50-km cells using public FIADB LAT/LON,NOT_SUPPORTED,Public coordinates are deliberately perturbed and some private plots are swapped. Exact FIA plot coordinates are confidential.,S10,"Approximate-domain analysis may be possible, but exact membership requires a spatial-data strategy decided by mainline."
state_specific_piecewise_sum,Sum cell portion in State 1 + cell portion in State 2 + ...,SUPPORTED,FIA estimation units are confined to States and considered independent; totals and variances are summed across EUs and States.,S04,Each State-side estimate must use its own coherent evaluation/design metadata.
calendar_2017_2023_as_national_evaluation,Treat all measurements with calendar years 2017–2023 as one national official FIA evaluation,NOT_SUPPORTED,"Current EVALID table proves State evaluation windows differ: some 2023 evaluations are 2017–2023, others 2016–2023, 2013–2023, 2014–2023, etc. An arbitrary calendar subset is not itself one FIA evaluation.",S08; S09,Raw MEASYEAR/calendar filtering can break coherence between sample membership and expansion/restratification metadata.
state_evalid_exact_2017_2023,Use an official State EVALID whose member years are exactly 2017–2023,SUPPORTED,"Where such an EVALID exists (e.g. Delaware 102023, West Virginia 542023), it is a coherent official evaluation for that State.",S08,This does not solve States whose official evaluation window differs.
mix_panels_from_different_evaluation_vintages,Combine plot records/panels while attaching weights from differing evaluation vintages,NOT_SUPPORTED,Poststratification is repeated when panels are added; panel combination may require method modification. Weights/strata must belong to one coherent design object.,S04; S06,"A custom calendar-window estimator would require an explicitly reconstructed design, not silent weight mixing."
A_fold_only_original_expns,Use only A-fold (~half plots) but retain official full-evaluation EXPNS/weights unchanged,NOT_SUPPORTED,"Full-sample weights encode full-sample inclusion/effective n. FIA-specific weight literature states changing effective sample size requires changing sampling weights. Under independent 50% thinning, naive unchanged-weight total is expected to be about half the full-sample total (inference).",S12,Exact Q1 fold recalibration method is not specified by core FIA manuals.
B_fold_only_original_expns,Use only B-fold (~half plots) but retain official full-evaluation EXPNS/weights unchanged,NOT_SUPPORTED,Same reasoning as A-fold.,S12,Requires fold-specific design treatment.
AB_fold_recalibrated,Treat A/B as a known second-phase probability sample and recalculate effective stratum sample sizes/weights and variance,CONDITIONAL,"General design-based logic and FIA-specific weight-adjustment literature support recalibration when effective inclusion probabilities change, but no official FIA core recipe for Q1-style A/B half-sample cross-fitting was found.",S12; S06,"Future bounded statistical-design test required. Any split-block rule (State×EVALID×EU×stratum×panel) is an inference to preserve balance, not an FIA-prescribed method."
constant_factor_cancel_after_normalization,Assume missing factor 2 cancels after within-species normalization,CONDITIONAL,Mathematically true only if the missing factor is exactly constant across all cells for that species/fold and support is unchanged. Random cell/stratum-specific fold retention violates that guarantee; variance never cancels.,INFERENCE,Do not use cancellation as justification for unrecalibrated design weights.
