output_file,source_artifact,source_member_or_table,source_fields_or_inputs,transformation,scope_boundary
D10FB5_SINGLETON_PSEUDOSTRATA_CONSTRUCTIBILITY_v01.csv,D10FB4; D10FB3,Q1_D10F_B4_VARIANCE_INTERFACE_AUTHORITY_CLOSURE_v01/ledger/D10FB4_SINGLETON_AUTHORITY_MATRIX_v01.csv;Q1_D10F_B4_VARIANCE_INTERFACE_AUTHORITY_CLOSURE_v01/ledger/D10FB4_OPEN_QUESTIONS_v01.csv;D10FB3_SINGLETON_PROVENANCE_v01.csv,A04;A05;O01;24 singleton identities,Map B4 permissions and open questions to B5 constructibility gates.,No analyst-created pairing rule.
D10FB5_SINGLETON_GROUP_ASSIGNMENT_v01.csv,D10FB3; D09C,D10FB3_SINGLETON_PROVENANCE_v01.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv,case/state/fold/EU/parent/full n_h/fold n_h/TI coefficient,Create 24-row blocked inventory; copy point coefficient as an exact no-op identity.,No pseudo-stratum group or donor assigned.
D10FB5_SINGLETON_SYNTHETIC_QUALIFICATION_v01.csv,B5 constructibility decision,constructibility checks S-C03/S-C04/S-C06,No authorized candidate,Record NOT_RUN_BLOCKED_AT_CONSTRUCTIBILITY.,No synthetic rule selection by performance.
D10FB5_SINGLETON_COVARIANCE_CHECK_v01.csv,B5 constructibility decision,constructibility check S-C06,No authorized candidate,Record blocked covariance check.,No nationwide covariance matrix.
D10FB5_WV_COMBINED_POPULATION_MAPPING_v01.csv,D09C; D10C-A; D10FB3,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB3_WV_OPERATOR_COMPARISON_v01.csv,area/fold/plot/source EU/current pooled coefficient,Exact Fraction comparison of current coefficient with A_U/n under pre-estimation union representation.,"Algebra mapping, not probability-design proof."
D10FB5_WV_DESIGN_MAPPING_v01.csv,D09C; D10C-A; D10FB4,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_RULE_SELECTED_PARTITIONS_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;Q1_D10F_B4_VARIANCE_INTERFACE_AUTHORITY_CLOSURE_v01/ledger/D10FB4_WV_OPERATOR_AUTHORITY_MATRIX_v01.csv,panels/plots/folds/EUs/areas/B4 authority classes,"Separate demonstrated, authority-supported, and not-demonstrated propositions.",No invented pi_k or strict spatial design.
D10FB5_WV_SYNTHETIC_QUALIFICATION_v01.csv,B4 B02/B03; frozen WV A_U and n,Reproduction script synthetic_config_v01,N3=115074;N4=259810;A_U=74976.8;R=50000;W1 p3=0.08,Deterministic finite population; W0 common SRSWOR and W1 domain-intensity mismatch repeated sampling.,Synthetic / qualification only; variance formula is not a production FIA formula.
D10FB5_WV_COVARIANCE_CHECK_v01.csv,WV synthetic qualification,Fixed EU3/EU4 contribution vectors,replicate estimates and one-block sample covariance matrices,Compare empirical/candidate joint covariance and union identity; inspect PSD.,Two domains only; no 50-km production covariance.
D10FB5_POINT_ESTIMATOR_INVARIANCE_v01.csv,Singleton inventory; WV mapping,24 singleton and 13 WV coefficient rows,before/after coefficients,Exact equality counts.,No A2 edit.
D10FB5_OUTCOME_LEAKAGE_AUDIT_v01.csv,B5 execution boundary,Resource access ledger in this script,access counts and forbidden-resource list,Record zero real/cross-fold outcome and network access.,Design and authority artifacts only.
D10FB5_INPUT_IDENTITIES_v01.csv,Local frozen packages,"Outer packages, internal manifests, exact required members",path/size/SHA-256/commit,Fresh outer hashes and internal member checks.,No external acquisition.
D10FB5_OPEN_ITEMS_v01.csv,B4 open questions; B5 mappings,Q1_D10F_B4_VARIANCE_INTERFACE_AUTHORITY_CLOSURE_v01/ledger/D10FB4_OPEN_QUESTIONS_v01.csv;B5 constructibility/design mapping,"authority, design, and stop-rule gaps",Consolidate unresolved items without terminal mainline decisions.,No ACCEPT/HOLD or D10F-C authorization.
D10FB5_MAIN_REPORT_v01.md,All B5 outputs,Exact checks and synthetic summaries,constructibility/mapping/bias/variance/coverage/covariance/open items,Concise decision-oriented synthesis.,Proposed interpretation only.
