evidence,scope,stress definition,result,scientific interpretation,remaining uncertainty,status,next action
structural rarity,24 actual singleton design strata,singleton identity and TI tails,"24 cases; TI q95=24138.3, q99=40835.1",Structurally rare but several cases occupy extreme TI tails.,Rarity alone does not bound outcome miss.,ACCEPTED_DERIVED_MATERIALITY_EVIDENCE,Retain all 24 in mainline review.
observed point-mass exposure,24×97 direct species-case rows,E_OBSERVED exact point-mass omission,max direction envelope TV=0.0126727,Observed exposure is localized and below each comparable A/B TV.,Observed zeros do not identify counterfactual stratum composition.,B14_EMPIRICAL_STRESS_EVIDENCE,Do not equate observed zero with zero uncertainty.
zero-observation empirical miss stress,"1,193,386 selected-zero/target-positive pseudo events",target contribution replaced by n_g*TI_g*y_j with y_j=0,median=0.00420333; p95=0.0793958; max=1,The critical miss mechanism has a nontrivial tail.,"Empirical stress is an envelope, not a probability model.",B14_EMPIRICAL_STRESS_EVIDENCE,Carry sealed E_P95 and E_EMPIRICAL_MAX.
high-TI stress,TI at or above full block-fold p95,zero-selected/target-positive normalized TV,median=0.0063784; p95=0.381694; max=0.381694,High-TI cases remain capable of material map perturbation.,Sparse TI-band cells widen tail uncertainty.,B14_EMPIRICAL_STRESS_EVIDENCE,Use frozen hierarchy; do not tune to actual outcomes.
normalized-map perturbation,full pseudo universe,TV after empirical one-plot replacement,24849363 exact implicit zeros; 2257 null-measure collapses,"Most events are inert, but a real maximal tail exists.",TV=1 collapse is a conservative boundary because the replacement map cannot be normalized.,B14_EMPIRICAL_STRESS_EVIDENCE,Retain explicit collapse status.
stress versus A/B fold discrepancy,90 species positive in both folds,direction envelope TV divided by ordinary fold TV,E_P95 exceeds fold TV for 79/90 comparable species,Counterfactual singleton stress is not absorbed by ordinary fold disagreement.,Seven species lack a two-positive-fold TV denominator.,B14_EMPIRICAL_STRESS_EVIDENCE,Review continuous ratios; no arbitrary pass threshold.
AB,fold B; 2 singleton cases,sealed individual and no-cancellation envelope,E_P95 individual max=0.0793958; envelope=0.0926116,AB has fewer cases and a smaller p95 envelope.,Not evidence of a causal fold effect.,B14_EMPIRICAL_STRESS_EVIDENCE,Keep direction-specific results.
BA,fold A; 22 singleton cases,sealed individual and no-cancellation envelope,E_P95 individual max=0.381694; envelope=1,BA dominates the conservative aggregate because it contains 22 cases.,No-cancellation aggregation is intentionally conservative.,B14_EMPIRICAL_STRESS_EVIDENCE,Do not pool AB and BA silently.
Abies procera,SPCD 22,E_OBSERVED exact omission,BA observed TV=0.0126727; only direct97 positive observed singleton point mass,Visible observed sensitivity remains localized to this species.,It is not the only species exposed under the counterfactual envelope.,ACCEPTED_DERIVED_MATERIALITY_EVIDENCE,Retain dedicated case ledger.
cohort-level direct97,all 97 direct species,sealed E_P95 conservative no-cancellation envelope,97/97 positive envelopes; 79/90 exceed positive fold TV,Potential uncertainty is cohort-wide under the stress envelope.,Envelope breadth partly reflects outcome-independent borrowing and additive aggregation.,MATERIAL_SINGLETON_UNCERTAINTY_REMAINS,Mainline decides whether this blocks later work.
singleton covariance method necessity,D10F-C gate,"scientific necessity test, not estimator construction",Not established by B14; D10F-C remains HOLD,Material abundance uncertainty does not itself identify a covariance estimator.,Final singleton subgate remains OPEN pending mainline decision.,B14_MATERIALITY_STRESS_COMPLETE,Reopen method development only with decision-relevant and outcome-independent identifying evidence.
