priority,State,table,exact_url,expected_format,recommended_local_filename,scientific_role,required_for_D09C,component_EVALID_role,size_status,download_action,approval_rule,raw_preservation
A_MEMBERSHIP_FIRST,California,POP_EVAL_GRP,https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_EVAL_GRP.zip,ZIP containing state-level FIADB CSV table,CA_POP_EVAL_GRP.zip,Evaluation-group record and group CN,YES,PRIMARY,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
A_MEMBERSHIP_FIRST,California,POP_EVAL_TYP,https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_EVAL_TYP.zip,ZIP containing state-level FIADB CSV table,CA_POP_EVAL_TYP.zip,Official group-to-evaluation membership bridge and evaluation type,YES,PRIMARY,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
A_MEMBERSHIP_FIRST,California,POP_EVAL,https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_EVAL.zip,ZIP containing state-level FIADB CSV table,CA_POP_EVAL.zip,Component evaluation records; contains EVALID and inventory-span metadata,YES,PRIMARY,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
B_DESIGN_COMPLETION,California,POP_ESTN_UNIT,https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_ESTN_UNIT.zip,ZIP containing state-level FIADB CSV table,CA_POP_ESTN_UNIT.zip,Estimation-unit design metadata,YES,SUPPORTING,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
B_DESIGN_COMPLETION,California,POP_STRATUM,https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_STRATUM.zip,ZIP containing state-level FIADB CSV table,CA_POP_STRATUM.zip,Stratum design metadata,YES,SUPPORTING,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
B_DESIGN_COMPLETION,California,POP_PLOT_STRATUM_ASSGN,https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_PLOT_STRATUM_ASSGN.zip,ZIP containing state-level FIADB CSV table,CA_POP_PLOT_STRATUM_ASSGN.zip,Plot-to-stratum/estimation-unit assignment and EVALID membership,YES,DIRECT_CROSSCHECK,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
B_DESIGN_COMPLETION,California,PLOT,https://apps.fs.usda.gov/fia/datamart/CSV/CA_PLOT.zip,ZIP containing state-level FIADB CSV table,CA_PLOT.zip,Plot identifiers and survey/inventory metadata needed by downstream bounded D09C,YES,SUPPORTING,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
A_MEMBERSHIP_FIRST,California,SURVEY,https://apps.fs.usda.gov/fia/datamart/CSV/CA_SURVEY.zip,ZIP containing state-level FIADB CSV table,CA_SURVEY.zip,Survey/inventory-year metadata,YES,SUPPORTING,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
A_MEMBERSHIP_FIRST,Oregon,POP_EVAL_GRP,https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_EVAL_GRP.zip,ZIP containing state-level FIADB CSV table,OR_POP_EVAL_GRP.zip,Evaluation-group record and group CN,YES,PRIMARY,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
A_MEMBERSHIP_FIRST,Oregon,POP_EVAL_TYP,https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_EVAL_TYP.zip,ZIP containing state-level FIADB CSV table,OR_POP_EVAL_TYP.zip,Official group-to-evaluation membership bridge and evaluation type,YES,PRIMARY,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
